drugbank_id,disease,label
DB02362,myasthenia gravis,0
DB09567,burkitt lymphoma,0
DB00240,asthma,0
DB15067,prader-willi syndrome,0
DB01420,neuroblastoma,0
DB08917,leber congenital amaurosis,0
DB00512,osteoporosis-pseudoglioma syndrome,0
DB04574,fanconi anemia,0
DB00967,long qt syndrome,0
DB00242,multiple sclerosis,1
DB00982,diabetic retinopathy,0
DB08844,parkinson disease,0
DB01122,noonan syndrome,0
DB01045,cryptorchidism,0
DB13729,hirschsprung disease,1
DB12783,lupus nephritis,0
DB04572,burkitt lymphoma,1
DB00860,cystic fibrosis,0
DB14596,retinitis pigmentosa,0
DB09019,mitochondrial complex iii deficiency,0
DB11132,atypical hemolytic uremic syndrome,0
DB01021,retinitis pigmentosa,0
DB15227,breast cancer,0
DB04951,long qt syndrome,0
DB09331,burkitt lymphoma,0
DB08872,asthma,0
DB06458,rhabdomyosarcoma,0
DB01394,hypoplastic left heart syndrome,1
DB11761,huntington disease,0
DB09026,osteosarcoma,0
DB00193,breast cancer,0
DB00518,diabetic retinopathy,0
DB00921,neuroblastoma,0
DB04953,cataract,0
DB06774,vitiligo,0
DB14183,cystic fibrosis,1
DB08878,tuberculosis,0
DB00542,cystic fibrosis,1
DB11776,psoriasis,1
DB05076,multiple myeloma,0
DB14483,multiple myeloma,1
DB01018,huntington disease,0
DB13618,glioma,0
DB01138,diabetic retinopathy,0
DB08903,barrett esophagus,0
DB00436,crohn disease,1
DB11994,celiac disease,0
DB01114,retinitis pigmentosa,0
DB11635,noonan syndrome,0
DB01088,huntington disease,0
DB00309,hypotrichosis,0
DB06813,burkitt lymphoma,1
DB13573,hypotrichosis,0
DB00881,hypoplastic left heart syndrome,1
DB01035,barrett esophagus,0
DB05295,costello syndrome,0
DB16691,coronary artery disease,1
DB00391,leber congenital amaurosis,0
DB00775,hirschsprung disease,0
DB00206,q fever,1
DB01242,osteosarcoma,0
DB05790,optic atrophy,0
DB12829,tuberculosis,1
DB09335,mitochondrial complex iii deficiency,0
DB11638,hypoplastic left heart syndrome,0
DB12129,neural tube defects,0
DB01288,asthma,1
DB00709,nephrotic syndrome,1
DB09258,meningioma,0
DB00590,holoprosencephaly,0
DB01115,osteoporosis,0
DB00412,hirschsprung disease,1
DB00014,diabetic retinopathy,0
DB01029,osteoporosis-pseudoglioma syndrome,1
DB00836,breast cancer,1
DB11938,atypical hemolytic uremic syndrome,1
DB01122,hyperprolactinemia,0
DB00661,meningioma,0
DB00598,mitochondrial complex iii deficiency,0
DB08846,atypical hemolytic uremic syndrome,0
DB11825,huntington disease,0
DB00400,hypospadias,0
DB00513,burkitt lymphoma,0
DB09279,crohn disease,1
DB01117,celiac disease,0
DB06317,coronary artery disease,0
DB00195,noonan syndrome,0
DB00220,multiple myeloma,1
DB01183,atherosclerosis,1
DB01171,narcolepsy,0
DB00571,osteoporosis-pseudoglioma syndrome,1
DB01164,leber congenital amaurosis,0
DB16355,hyperprolactinemia,0
DB11652,meningioma,0
DB00841,tuberculosis,0
DB15626,coronary artery disease,0
DB00715,disseminated intravascular coagulation,0
DB00319,breast cancer,0
DB00908,osteoporosis-pseudoglioma syndrome,1
DB01130,crohn disease,0
DB06655,neuroblastoma,0
DB00223,fanconi anemia,0
DB11620,frontotemporal lobar degeneration,0
DB00459,psoriasis,1
DB00804,hypotrichosis,0
DB00773,lupus nephritis,0
DB06755,glioma,1
DB00571,coronary artery disease,1
DB00132,atherosclerosis,1
DB11094,atherosclerosis,0
DB00819,hypertriglyceridemia,0
DB13762,glioma,0
DB01064,huntington disease,0
DB00593,graves disease,0
DB00275,holoprosencephaly,0
DB00203,prader-willi syndrome,1
DB11703,osteoporosis-pseudoglioma syndrome,0
DB11988,celiac disease,0
DB09146,coronary artery disease,0
DB04953,neural tube defects,0
DB00583,lymphangioleiomyomatosis,0
DB00321,q fever,0
DB05229,asthma,0
DB00401,burkitt lymphoma,0
DB01275,glaucoma,0
DB11703,osteoporosis-pseudoglioma syndrome,0
DB01065,hypertriglyceridemia,1
DB00224,leishmaniasis,0
DB00796,rhabdomyosarcoma,0
DB00227,rhabdomyosarcoma,1
DB01348,graves disease,0
DB01281,dyskeratosis congenita,0
DB00549,cryptorchidism,0
DB09074,neural tube defects,0
DB00023,asthma,0
DB00437,obsessive-compulsive disorder,1
DB00030,disseminated intravascular coagulation,0
DB00820,obsessive-compulsive disorder,1
DB06273,hirschsprung disease,1
DB00227,hypertriglyceridemia,1
DB01194,noonan syndrome,0
DB06822,lymphangioleiomyomatosis,0
DB00397,nephrotic syndrome,0
DB05262,celiac disease,0
DB14482,costello syndrome,0
DB00305,glaucoma,1
DB15598,hypotrichosis,0
DB14539,nephrotic syndrome,1
DB01407,costello syndrome,0
DB00337,vitiligo,1
DB00152,breast cancer,0
DB00543,malaria,0
DB00889,leber congenital amaurosis,0
DB01222,obsessive-compulsive disorder,1
DB09154,myopia,0
DB11825,idiopathic pulmonary fibrosis,0
DB00291,osteoporosis-pseudoglioma syndrome,1
DB06412,multiple myeloma,1
DB00649,frontotemporal lobar degeneration,0
DB01197,malaria,0
DB00842,asthma,0
DB06374,marfan syndrome,0
DB00983,q fever,0
DB00342,asthma,1
DB00834,obsessive-compulsive disorder,1
DB08844,diabetic retinopathy,0
DB05063,disseminated intravascular coagulation,0
DB01103,multiple myeloma,0
DB00907,osteosarcoma,0
DB00208,atherosclerosis,1
DB01608,hypoplastic left heart syndrome,0
DB09055,multiple myeloma,0
DB00308,tuberculosis,0
DB01620,lupus nephritis,0
DB00993,psoriasis,1
DB01224,common variable immunodeficiency,0
DB12129,noonan syndrome,0
DB14509,multiple sclerosis,1
DB00655,q fever,0
DB06460,retinitis pigmentosa,0
DB00635,osteoporosis-pseudoglioma syndrome,1
DB00177,crohn disease,1
DB09247,parkinson disease,0
DB08838,breast cancer,0
DB14962,fanconi anemia,0
DB00477,malaria,1
DB00864,osteoporosis-pseudoglioma syndrome,1
DB00245,parkinson disease,1
DB00758,atherosclerosis,1
DB00716,hypotrichosis,0
DB00200,lymphangioleiomyomatosis,0
DB00543,sarcoidosis,0
DB01212,costello syndrome,1
DB00446,meningioma,0
DB06179,tuberculosis,0
DB01064,diabetic retinopathy,0
DB01592,lymphangioleiomyomatosis,0
DB00806,lupus nephritis,1
DB00799,medulloblastoma,0
DB00579,hypertriglyceridemia,0
DB11157,atypical hemolytic uremic syndrome,0
DB09322,cystic fibrosis,0
DB00087,atherosclerosis,0
DB09550,osteoporosis-pseudoglioma syndrome,0
DB09035,atypical hemolytic uremic syndrome,0
DB01100,prader-willi syndrome,0
DB05076,glioma,1
DB00915,multiple sclerosis,1
DB01283,sarcoidosis,0
DB09153,hypoplastic left heart syndrome,0
DB05316,crohn disease,0
DB00448,huntington disease,0
DB00960,hypertriglyceridemia,0
DB01164,common variable immunodeficiency,0
DB09280,retinitis pigmentosa,0
DB00947,noonan syndrome,0
DB08908,myopia,0
DB15071,myopia,0
DB00682,narcolepsy,0
DB00048,narcolepsy,0
DB00017,osteoporosis,1
DB12130,fanconi anemia,0
DB01259,retinitis pigmentosa,0
DB09039,hypotrichosis,0
DB00325,asthma,0
DB14936,myasthenia gravis,0
DB08881,nephrotic syndrome,0
DB06762,diabetic retinopathy,0
DB11315,noonan syndrome,1
DB09248,obsessive-compulsive disorder,1
DB00771,optic atrophy,0
DB09371,coronary artery disease,0
DB15271,hypotrichosis,0
DB01065,fanconi anemia,1
DB09097,crohn disease,0
DB16220,gout,0
DB13615,neuroblastoma,0
DB08895,myopia,0
DB04883,neural tube defects,0
DB04145,cryptorchidism,0
DB09205,marfan syndrome,0
DB06654,myasthenia gravis,0
DB14644,neural tube defects,0
DB00813,breast cancer,1
DB13944,cryptorchidism,1
DB00959,glioma,1
DB00752,meningioma,0
DB11892,malaria,0
DB01268,breast cancer,1
DB00846,disseminated intravascular coagulation,0
DB06334,huntington disease,0
DB03793,cystic fibrosis,0
DB00188,breast cancer,1
DB00228,leishmaniasis,0
DB00876,prader-willi syndrome,0
DB00796,gout,0
DB00878,lupus nephritis,0
DB11672,psoriasis,0
DB01074,tuberculosis,0
DB01223,idiopathic pulmonary fibrosis,1
DB00184,costello syndrome,1
DB00907,lymphangioleiomyomatosis,0
DB01269,costello syndrome,1
DB01017,neuroblastoma,0
DB00754,asthma,0
DB00681,leishmaniasis,1
DB08878,leishmaniasis,0
DB00579,narcolepsy,1
DB00642,osteosarcoma,0
DB09304,frontotemporal lobar degeneration,0
DB09494,costello syndrome,0
DB16099,tuberculosis,0
DB12255,diabetic retinopathy,0
DB00640,leber congenital amaurosis,0
DB13618,glaucoma,0
DB00073,neuroblastoma,1
DB01167,leishmaniasis,1
DB06742,osteoporosis,0
DB00016,rhabdomyosarcoma,0
DB00263,leishmaniasis,0
DB00200,hypospadias,0
DB00663,neuroblastoma,0
DB00673,common variable immunodeficiency,0
DB04942,mitochondrial complex iii deficiency,0
DB01590,rhabdomyosarcoma,0
DB14533,asthma,0
DB00565,hirschsprung disease,0
DB00075,meningioma,0
DB11823,gout,0
DB00067,cholangiocarcinoma,0
DB04942,q fever,0
DB00906,intervertebral disc disease,0
DB00526,breast cancer,1
DB14985,leishmaniasis,0
DB00264,hypoplastic left heart syndrome,1
DB00700,hypoplastic left heart syndrome,1
DB01109,parkinson disease,0
DB15305,hypoplastic left heart syndrome,0
DB00514,costello syndrome,0
DB11135,noonan syndrome,1
DB13803,myopia,0
DB00575,leishmaniasis,0
DB00316,crohn disease,1
DB11359,meningioma,0
DB00177,atherosclerosis,1
DB00211,lupus nephritis,0
DB11793,lymphangioleiomyomatosis,0
DB00747,malaria,0
DB00410,asthma,0
DB08842,nephrotic syndrome,0
DB15965,psoriasis,0
DB00885,obsessive-compulsive disorder,0
DB09325,cystic fibrosis,0
DB00763,malaria,0
DB08897,tuberculosis,0
DB11837,hyperprolactinemia,0
DB00002,tuberculosis,0
DB08895,mitochondrial complex iii deficiency,0
DB00960,osteoporosis-pseudoglioma syndrome,0
DB02701,dengue,0
DB11093,tuberculosis,0
DB12553,diabetic retinopathy,0
DB00834,medulloblastoma,0
DB13608,hirschsprung disease,0
DB00030,frontotemporal lobar degeneration,0
DB11626,hypertriglyceridemia,0
DB00528,cholangiocarcinoma,0
DB00104,neuroblastoma,1
DB01580,lupus nephritis,0
DB00628,leishmaniasis,0
DB06154,multiple myeloma,0
DB01380,glaucoma,0
DB08907,leber congenital amaurosis,0
DB14644,graves disease,0
DB00820,multiple myeloma,1
DB06755,retinitis pigmentosa,0
DB00224,tuberculosis,0
DB09302,neural tube defects,0
DB01137,barrett esophagus,0
DB09247,dengue,0
DB15305,lymphangioleiomyomatosis,0
DB09077,malaria,0
DB01406,breast cancer,0
DB00252,atherosclerosis,1
DB00337,hypoplastic left heart syndrome,0
DB00678,atherosclerosis,1
DB00387,lymphangioleiomyomatosis,0
DB01010,celiac disease,0
DB01085,barrett esophagus,0
DB15044,retinitis pigmentosa,0
DB01197,huntington disease,0
DB00642,dyskeratosis congenita,0
DB04876,q fever,1
DB04786,medulloblastoma,0
DB01544,nephrotic syndrome,0
DB00620,nephrotic syndrome,1
DB01130,graves disease,0
DB08998,obsessive-compulsive disorder,1
DB01010,myasthenia gravis,1
DB05630,dyskeratosis congenita,0
DB01177,leishmaniasis,0
DB01366,marfan syndrome,0
DB00710,obsessive-compulsive disorder,0
DB00502,huntington disease,0
DB15444,long qt syndrome,0
DB13178,prader-willi syndrome,0
DB01400,coronary artery disease,0
DB00741,burkitt lymphoma,1
DB01140,q fever,1
DB00434,myopia,0
DB01068,osteoporosis-pseudoglioma syndrome,0
DB11703,cystic fibrosis,0
DB09258,frontotemporal lobar degeneration,0
DB00321,hypertriglyceridemia,0
DB00446,osteoporosis-pseudoglioma syndrome,0
DB00668,psoriasis,0
DB01296,osteoporosis,1
DB00873,long qt syndrome,0
DB00253,barrett esophagus,0
DB09220,narcolepsy,0
DB01237,vitiligo,0
DB13399,hypotrichosis,0
DB09104,osteoporosis,0
DB06723,noonan syndrome,0
DB11061,noonan syndrome,0
DB00707,barrett esophagus,1
DB15566,cystic fibrosis,0
DB04932,mitochondrial complex iii deficiency,0
DB13191,narcolepsy,0
DB00957,gout,0
DB11915,atherosclerosis,0
DB00981,costello syndrome,1
DB12465,cholangiocarcinoma,0
DB00282,obsessive-compulsive disorder,1
DB00673,coronary artery disease,1
DB00392,meningioma,0
DB00132,noonan syndrome,0
DB16405,hypoplastic left heart syndrome,0
DB00232,crohn disease,1
DB01388,sarcoidosis,0
DB00095,psoriasis,1
DB16355,glioma,0
DB08910,atypical hemolytic uremic syndrome,0
DB00958,celiac disease,1
DB13092,q fever,1
DB00834,cholangiocarcinoma,1
DB00544,q fever,0
DB00997,coronary artery disease,1
DB01170,diabetic retinopathy,0
DB06634,glioma,0
DB05812,noonan syndrome,0
DB00571,long qt syndrome,1
DB04861,marfan syndrome,0
DB00748,neuroblastoma,0
DB00787,prader-willi syndrome,1
DB00186,meningioma,0
DB11366,multiple sclerosis,0
DB15566,hirschsprung disease,0
DB11074,holoprosencephaly,0
DB04953,disseminated intravascular coagulation,0
DB01065,multiple sclerosis,1
DB12086,idiopathic pulmonary fibrosis,0
DB00127,neural tube defects,0
DB04743,malaria,0
DB01205,lymphangioleiomyomatosis,0
DB06185,burkitt lymphoma,1
DB06761,costello syndrome,1
DB00382,coronary artery disease,0
DB01390,coronary artery disease,1
DB01173,parkinson disease,1
DB05088,malaria,1
DB11834,cholangiocarcinoma,0
DB00319,hyperprolactinemia,0
DB01239,common variable immunodeficiency,0
DB01061,barrett esophagus,0
DB00790,psoriasis,0
DB01056,diabetic retinopathy,0
DB06415,myasthenia gravis,0
DB13435,intervertebral disc disease,0
DB00542,celiac disease,0
DB09526,disseminated intravascular coagulation,0
DB06637,hypotrichosis,0
DB13144,leber congenital amaurosis,0
DB15067,coronary artery disease,0
DB09061,myopia,0
DB01017,cystic fibrosis,1
DB00253,celiac disease,0
DB12161,holoprosencephaly,0
DB00050,fanconi anemia,0
DB01563,tuberculosis,0
DB01008,coronary artery disease,1
DB01156,disseminated intravascular coagulation,0
DB00928,common variable immunodeficiency,0
DB13917,costello syndrome,0
DB16220,retinitis pigmentosa,0
DB11396,hypertriglyceridemia,0
DB00681,cryptorchidism,0
DB01196,marfan syndrome,0
DB15566,cholangiocarcinoma,0
DB00370,atypical hemolytic uremic syndrome,1
DB01411,cholangiocarcinoma,0
DB00243,cataract,0
DB00521,glaucoma,1
DB00030,hypoplastic left heart syndrome,1
DB00339,hypoplastic left heart syndrome,0
DB04896,obsessive-compulsive disorder,1
DB00482,lupus nephritis,1
DB06738,noonan syndrome,0
DB16405,retinitis pigmentosa,0
DB00112,disseminated intravascular coagulation,0
DB12978,fanconi anemia,0
DB08813,mitochondrial complex iii deficiency,0
DB00313,narcolepsy,0
DB01076,myopia,0
DB11135,breast cancer,0
DB00514,common variable immunodeficiency,1
DB00227,marfan syndrome,0
DB00643,hypoplastic left heart syndrome,0
DB11119,glioma,1
DB00211,osteoporosis-pseudoglioma syndrome,1
DB00627,coronary artery disease,1
DB06691,q fever,0
DB11135,glioma,1
DB01592,coronary artery disease,0
DB09220,hypoplastic left heart syndrome,0
DB09073,sarcoidosis,0
DB00524,burkitt lymphoma,0
DB06448,tuberculosis,0
DB01576,osteoporosis,0
DB00555,holoprosencephaly,0
DB04815,sarcoidosis,0
DB01299,hypertriglyceridemia,0
DB11507,leishmaniasis,0
DB16220,common variable immunodeficiency,0
DB09494,celiac disease,0
DB06262,disseminated intravascular coagulation,0
DB00391,q fever,1
DB08905,hypoplastic left heart syndrome,0
DB00702,hypospadias,0
DB00015,idiopathic pulmonary fibrosis,1
DB14985,lymphangioleiomyomatosis,0
DB00471,coronary artery disease,0
DB00752,long qt syndrome,0
DB01064,gout,0
DB00547,hirschsprung disease,0
DB00321,breast cancer,0
DB00837,q fever,0
DB00958,dengue,0
DB00560,neuroblastoma,0
DB09054,long qt syndrome,0
DB01076,asthma,1
DB00682,mitochondrial complex iii deficiency,1
DB00537,hyperprolactinemia,0
DB01400,mitochondrial complex iii deficiency,0
DB11757,leber congenital amaurosis,0
DB00966,sarcoidosis,0
DB01269,osteoporosis-pseudoglioma syndrome,0
DB00490,frontotemporal lobar degeneration,1
DB11490,costello syndrome,1
DB01169,cholangiocarcinoma,1
DB04932,hirschsprung disease,1
DB06777,leishmaniasis,0
DB15897,intervertebral disc disease,0
DB00908,costello syndrome,1
DB00837,cataract,0
DB08804,obsessive-compulsive disorder,0
DB08889,myopia,0
DB06174,glioma,1
DB08897,diabetic retinopathy,0
DB08842,cataract,1
DB15941,coronary artery disease,1
DB00373,celiac disease,0
DB00758,idiopathic pulmonary fibrosis,1
DB01214,meningioma,0
DB06803,breast cancer,0
DB00422,osteosarcoma,0
DB01149,noonan syndrome,0
DB09086,tuberculosis,0
DB00273,costello syndrome,1
DB00421,cystic fibrosis,1
DB14996,hypotrichosis,0
DB00108,crohn disease,1
DB04575,hypoplastic left heart syndrome,0
DB00688,fanconi anemia,0
DB00529,costello syndrome,1
DB12825,breast cancer,0
DB08875,mitochondrial complex iii deficiency,0
DB00545,hyperprolactinemia,0
DB01592,malaria,0
DB15561,multiple myeloma,0
DB02709,sarcoidosis,1
DB00104,prader-willi syndrome,1
DB00596,gout,0
DB00262,costello syndrome,0
DB00387,retinitis pigmentosa,0
DB01233,lymphangioleiomyomatosis,0
DB09019,cryptorchidism,0
DB00531,costello syndrome,1
DB00993,q fever,1
DB00475,obsessive-compulsive disorder,0
DB00014,glaucoma,0
DB00957,fanconi anemia,0
DB00806,crohn disease,0
DB00897,disseminated intravascular coagulation,0
DB15598,costello syndrome,0
DB06209,holoprosencephaly,0
DB01233,coronary artery disease,0
DB11082,burkitt lymphoma,0
DB00570,crohn disease,1
DB05088,glioma,1
DB00497,cystic fibrosis,0
DB00482,obsessive-compulsive disorder,1
DB11693,obsessive-compulsive disorder,0
DB09302,costello syndrome,0
DB00133,medulloblastoma,0
DB00555,frontotemporal lobar degeneration,1
DB00794,noonan syndrome,1
DB00987,vitiligo,0
DB04572,neural tube defects,0
DB08822,meningioma,0
DB06479,fanconi anemia,0
DB00884,cystic fibrosis,0
DB13944,malaria,0
DB14985,meningioma,0
DB01173,rhabdomyosarcoma,0
DB09053,noonan syndrome,0
DB04900,leber congenital amaurosis,0
DB16691,huntington disease,0
DB06603,hirschsprung disease,1
DB00296,multiple sclerosis,0
DB06272,gout,0
DB08881,holoprosencephaly,0
DB00820,dyskeratosis congenita,0
DB00852,leishmaniasis,0
DB01022,vitiligo,0
DB00748,narcolepsy,0
DB11770,huntington disease,0
DB00742,parkinson disease,1
DB00621,atherosclerosis,0
DB09152,sarcoidosis,0
DB12129,intervertebral disc disease,1
DB00966,cystic fibrosis,1
DB09153,celiac disease,0
DB01045,retinitis pigmentosa,0
DB12965,lupus nephritis,0
DB00169,crohn disease,1
DB00163,neural tube defects,1
DB13144,holoprosencephaly,0
DB09304,osteoporosis-pseudoglioma syndrome,0
DB13139,leber congenital amaurosis,0
DB04575,burkitt lymphoma,0
DB01406,asthma,0
DB02703,noonan syndrome,0
DB00321,hypotrichosis,0
DB14005,coronary artery disease,0
DB06374,meningioma,0
DB01196,tuberculosis,0
DB02709,glioma,1
DB15940,optic atrophy,0
DB00384,crohn disease,1
DB04951,rhabdomyosarcoma,0
DB00842,mitochondrial complex iii deficiency,0
DB11596,disseminated intravascular coagulation,0
DB15598,narcolepsy,0
DB00640,asthma,1
DB00297,glioma,0
DB00704,osteoporosis-pseudoglioma syndrome,1
DB11098,idiopathic pulmonary fibrosis,0
DB01042,burkitt lymphoma,1
DB01288,hyperprolactinemia,0
DB01168,graves disease,0
DB14513,frontotemporal lobar degeneration,0
DB00604,neuroblastoma,0
DB00710,multiple myeloma,1
DB15759,obsessive-compulsive disorder,0
DB01142,long qt syndrome,0
DB00309,atherosclerosis,0
DB01112,cholangiocarcinoma,0
DB12930,osteoporosis-pseudoglioma syndrome,0
DB06767,cholangiocarcinoma,1
DB00880,neural tube defects,0
DB01956,prader-willi syndrome,1
DB01545,hirschsprung disease,0
DB00528,vitiligo,0
DB00368,prader-willi syndrome,0
DB14125,atherosclerosis,0
DB15357,hirschsprung disease,0
DB09013,frontotemporal lobar degeneration,0
DB12965,frontotemporal lobar degeneration,0
DB12975,costello syndrome,0
DB00422,gout,0
DB01611,noonan syndrome,1
DB00412,myasthenia gravis,0
DB00495,prader-willi syndrome,1
DB15617,dyskeratosis congenita,0
DB06670,leber congenital amaurosis,0
DB02925,medulloblastoma,0
DB01611,lupus nephritis,1
DB09087,barrett esophagus,0
DB00446,neuroblastoma,0
DB09070,long qt syndrome,0
DB00231,prader-willi syndrome,0
DB00291,nephrotic syndrome,1
DB00880,atherosclerosis,0
DB01224,graves disease,0
DB01205,osteosarcoma,0
DB00131,huntington disease,0
DB15598,neural tube defects,0
DB11363,cryptorchidism,0
DB00247,medulloblastoma,0
DB00640,breast cancer,0
DB15463,cholangiocarcinoma,0
DB00652,disseminated intravascular coagulation,0
DB14545,gout,1
DB00200,cryptorchidism,0
DB15719,lymphangioleiomyomatosis,0
DB08869,common variable immunodeficiency,1
DB00479,tuberculosis,1
DB08916,myasthenia gravis,0
DB01074,cryptorchidism,0
DB01580,intervertebral disc disease,0
DB01234,retinitis pigmentosa,0
DB01072,noonan syndrome,0
DB09206,osteoporosis,0
DB01166,glioma,0
DB00137,osteoporosis,0
DB00842,atypical hemolytic uremic syndrome,0
DB04828,dyskeratosis congenita,0
DB00714,cataract,0
DB01108,osteoporosis-pseudoglioma syndrome,1
DB00775,cataract,0
DB08904,osteoporosis,0
DB00653,fanconi anemia,1
DB00629,multiple sclerosis,1
DB00889,osteosarcoma,0
DB00465,dengue,0
DB01436,hypotrichosis,0
DB00482,cystic fibrosis,1
DB01003,asthma,1
DB01122,huntington disease,0
DB12975,hirschsprung disease,0
DB00819,obsessive-compulsive disorder,0
DB01095,multiple sclerosis,0
DB01299,malaria,1
DB06262,multiple sclerosis,0
DB00413,osteoporosis-pseudoglioma syndrome,1
DB06448,optic atrophy,0
DB05134,marfan syndrome,0
DB15071,atypical hemolytic uremic syndrome,0
DB15719,fanconi anemia,0
DB00276,osteosarcoma,0
DB14762,leishmaniasis,0
DB01586,myopia,0
DB06535,dyskeratosis congenita,0
DB00813,myasthenia gravis,0
DB00874,q fever,1
DB01054,atherosclerosis,1
DB00572,neuroblastoma,0
DB02546,medulloblastoma,1
DB09029,celiac disease,0
DB14507,barrett esophagus,0
DB00636,nephrotic syndrome,0
DB00263,burkitt lymphoma,0
DB11942,malaria,0
DB08941,breast cancer,0
DB00591,huntington disease,0
DB00111,cystic fibrosis,0
DB11761,glaucoma,0
DB00283,long qt syndrome,0
DB11915,dengue,0
DB12783,parkinson disease,1
DB05767,osteoporosis,1
DB00559,osteoporosis,0
DB01238,prader-willi syndrome,0
DB13735,vitiligo,0
DB00351,vitiligo,0
DB01186,obsessive-compulsive disorder,1
DB01083,coronary artery disease,1
DB00755,hirschsprung disease,1
DB00490,parkinson disease,1
DB00837,hyperprolactinemia,0
DB00776,prader-willi syndrome,1
DB14649,multiple myeloma,1
DB00808,cataract,0
DB00520,hypertriglyceridemia,0
DB00091,osteoporosis-pseudoglioma syndrome,1
DB00838,hypoplastic left heart syndrome,0
DB11081,frontotemporal lobar degeneration,1
DB05063,frontotemporal lobar degeneration,0
DB07402,asthma,0
DB01156,costello syndrome,1
DB04900,huntington disease,0
DB00054,hypotrichosis,0
DB00475,nephrotic syndrome,0
DB00363,optic atrophy,0
DB09225,osteosarcoma,0
DB01011,osteoporosis-pseudoglioma syndrome,1
DB00818,cataract,0
DB09020,myopia,0
DB00313,cystic fibrosis,1
DB09235,lupus nephritis,0
DB01010,atypical hemolytic uremic syndrome,0
DB01164,barrett esophagus,0
DB14491,hyperprolactinemia,0
DB01050,holoprosencephaly,0
DB00744,disseminated intravascular coagulation,0
DB01401,glaucoma,0
DB00847,prader-willi syndrome,1
DB06812,nephrotic syndrome,0
DB09038,frontotemporal lobar degeneration,1
DB00973,obsessive-compulsive disorder,0
DB09114,prader-willi syndrome,1
DB01065,coronary artery disease,1
DB00440,osteoporosis,0
DB00930,multiple myeloma,1
DB11837,diabetic retinopathy,0
DB00177,coronary artery disease,1
DB06255,nephrotic syndrome,0
DB01233,myopia,0
DB11964,noonan syndrome,0
DB00435,burkitt lymphoma,1
DB00860,asthma,1
DB01047,gout,0
DB01388,myopia,0
DB06637,costello syndrome,0
DB09122,barrett esophagus,0
DB00851,neuroblastoma,0
DB01237,costello syndrome,0
DB00393,hirschsprung disease,0
DB11620,atherosclerosis,0
DB09074,long qt syndrome,0
DB11739,leishmaniasis,0
DB11596,barrett esophagus,0
DB06458,cholangiocarcinoma,0
DB00638,atherosclerosis,0
DB00489,psoriasis,0
DB01098,myopia,0
DB00145,sarcoidosis,0
DB00847,osteosarcoma,0
DB00608,parkinson disease,0
DB14644,hypospadias,0
DB00464,disseminated intravascular coagulation,0
DB04272,lymphangioleiomyomatosis,0
DB01095,osteosarcoma,0
DB09488,long qt syndrome,0
DB08808,noonan syndrome,0
DB00560,neuroblastoma,0
DB01047,nephrotic syndrome,0
DB00745,diabetic retinopathy,0
DB00747,hypospadias,0
DB00480,multiple myeloma,1
DB00457,medulloblastoma,0
DB13608,holoprosencephaly,0
DB00207,rhabdomyosarcoma,0
DB08877,psoriasis,1
DB01233,hirschsprung disease,1
DB00115,psoriasis,0
DB01623,gout,0
DB00187,hypoplastic left heart syndrome,1
DB00816,idiopathic pulmonary fibrosis,1
DB11248,barrett esophagus,0
DB00417,mitochondrial complex iii deficiency,0
DB00518,cystic fibrosis,0
DB08998,myasthenia gravis,0
DB00240,burkitt lymphoma,1
DB00652,neuroblastoma,0
DB00103,lymphangioleiomyomatosis,0
DB00540,frontotemporal lobar degeneration,0
DB00246,holoprosencephaly,0
DB01222,frontotemporal lobar degeneration,0
DB01618,coronary artery disease,0
DB15965,malaria,0
DB01238,dyskeratosis congenita,0
DB09272,neural tube defects,0
DB09304,psoriasis,0
DB08931,idiopathic pulmonary fibrosis,1
DB08881,q fever,0
DB15661,glaucoma,0
DB05790,breast cancer,0
DB11620,common variable immunodeficiency,0
DB11712,breast cancer,0
DB11677,psoriasis,0
DB00651,asthma,1
DB00755,psoriasis,1
DB00908,graves disease,0
DB00166,atherosclerosis,0
DB00752,osteosarcoma,0
DB00235,hypoplastic left heart syndrome,1
DB11963,breast cancer,1
DB12612,mitochondrial complex iii deficiency,0
DB11569,psoriasis,1
DB14183,idiopathic pulmonary fibrosis,1
DB01283,malaria,0
DB00400,optic atrophy,0
DB00036,parkinson disease,0
DB00591,q fever,0
DB12543,multiple myeloma,0
DB12829,holoprosencephaly,0
DB02300,cryptorchidism,0
DB01037,dyskeratosis congenita,0
DB00412,breast cancer,1
DB00375,optic atrophy,0
DB15598,multiple sclerosis,0
DB01956,hypotrichosis,0
DB00880,diabetic retinopathy,0
DB06149,marfan syndrome,0
DB14482,rhabdomyosarcoma,0
DB00017,common variable immunodeficiency,0
DB01164,common variable immunodeficiency,0
DB00796,gout,0
DB00401,hypoplastic left heart syndrome,1
DB05676,idiopathic pulmonary fibrosis,0
DB00139,common variable immunodeficiency,0
DB00308,hypertriglyceridemia,0
DB09069,lupus nephritis,0
DB01390,neuroblastoma,0
DB01234,common variable immunodeficiency,0
DB02300,huntington disease,0
DB01623,gout,0
DB00275,graves disease,0
DB12513,hyperprolactinemia,0
DB08897,idiopathic pulmonary fibrosis,0
DB00877,atherosclerosis,1
DB00838,burkitt lymphoma,1
DB06174,neural tube defects,0
DB00175,coronary artery disease,1
DB00434,costello syndrome,1
DB00627,parkinson disease,0
DB06815,asthma,0
DB00005,mitochondrial complex iii deficiency,0
