GeneName,UniProtID,PDB_IDs,AlphaFold
CYP3A4,P08684,1TQN;1W0E;1W0F,
AMY2A,P04746,1B2Y;1BSI;1CPU,
CES1,P23141,1MX1;1MX5;1MX9,
CYP2C9,P11712,1OG2;1OG5;1R9O,
DCK,P27707,1P5Z;1P60;1P61,
ANXA3,P12429,1AII;1AXN,
CYP2A6,P11509,1Z10;1Z11;2FDU,
CAPN1,P07384,1ZCM;2ARY;7W7O,
TEK,Q02763,1FVR;2GY5;2GY7,
GHSR,Q92847,6KO5;7F83;7F9Y,
MAPK11,Q15759,3GC8;3GC9;3GP0,
APP,P05067,1AAP;1AMB;1AMC,
TUBB2A,Q13885,7NVN;8V3O;8V3P,
FOLR1,P15328,4KM6;4KM7;4KMX,
APH1A,Q96BI3,5A63;5FN2;5FN3,
PSENEN,Q9NZ42,5A63;5FN2;5FN3,
TRPV3,Q8NET8,6H9J;6HA6;6MHO,
PRKCE,Q02156,2WH0;5LIH,
MPL,P40238,8G04,
STAT3,P40763,5AX3;5U5S;6NJS,
MAPT,P10636,1I8H;2MZ7;2ON9,
NPY,P01303,1QFA;1RON;7RTA,
JAK3,P52333,1YVJ;3LXK;3LXL,
GUCY2C,P25092,8FX4;8GHO;8GHP,
MCL1,Q07820,2KBW;2MHS;2NL9,
CSNK1E,P49674,4HNI;4HOK,
TNFSF11,O14788,3URF;5BNQ,
PTGER4,P35408,5YHL;5YWY;7D7M,
SSTR2,P30874,7T10;7T11;7UL5,
SSTR3,P32745,8XIQ;8XIR;8ZBI,
CYP11A1,P05108,3N9Y;3N9Z;3NA0,
AOX1,Q06278,4UHW;4UHX;5EPG,
CYP11B2,P19099,4DVQ;4FDH;4ZGX,
ALPL,P05186,7YIV;7YIW;7YIX,
CXCR1,P25024,1ILP;1ILQ;2LNL,
PTGDR2,Q9Y5Y4,6D26;6D27;7M8W,
PTPRS,Q13332,2FH7;2YD2;2YD3,
GGPS1,O95749,2Q80;6C56;6C57,
ITGAV,P06756,1JV2;1L5G;1M1X,
GUCY1A2,P33402,,AF-P33402-F1-model_v4
NISCH,Q9Y2I1,3P0C;8ESF,
KCNK3,O14649,6RV2;6RV3;6RV4,
KCNK9,Q9NPC2,3P1N;3P1O;3P1P,
CHRNB4,P30926,6PV7;6PV8;8ZRN,
CHRNA3,P32297,4ZK4;5SYO;5TVC,
GABRG2,P18507,6D6T;6D6U;6HUG,
GABRG3,Q99928,,AF-Q99928-F1-model_v4
GABRD,O14764,7QN5;7QN6;7QN7,
KCND2,Q9NZV8,7E7Z;7E83;7E84,
KCND3,Q9UK17,1S1G;2NZ0;7W3Y,
NTRK2,Q16620,1HCF;1WWB;2MFQ,
AKR1D1,P51857,3BUR;3BUV;3BV7,
CYP3A7,P24462,7MK8;8GK3,
RRM2B,Q7LG56,2VUX;3HF1;4DJN,
POLE,Q07864,5VBN;7PFO;7PLO,
POLE2,P56282,2V6Z;5VBN;7PFO,
POLE4,Q9NR33,,AF-Q9NR33-F1-model_v4
POLE3,Q9NRF9,,AF-Q9NRF9-F1-model_v4
LIPF,P07098,1HLG,
CA3,P07451,1Z93;1Z97;2HFW,
CA6,P23280,3FE4,
CA7,P43166,3MDZ;3ML5;6G4T,
CA14,Q9ULX7,4LU3;5CJF,
SCN1B,Q07699,6AGF;6J8G;6J8H,
SCN2B,O60939,5FDY;5FEB;6J8E,
SCN3B,Q9NY72,4L1D;7TJ8;7TJ9,
SCN4B,Q8IWT1,4MZ2;4MZ3;5XAW,
SLC10A2,Q12908,,AF-Q12908-F1-model_v4
SLC10A1,Q14973,7FCI;7PQG;7PQQ,
SLC22A8,Q8TCC7,,AF-Q8TCC7-F1-model_v4
SLCO4C1,Q6ZQN7,,AF-Q6ZQN7-F1-model_v4
SLC47A1,Q96FL8,,AF-Q96FL8-F1-model_v4
TUBD1,Q9UJT1,,AF-Q9UJT1-F1-model_v4
TUBE1,Q9UJT0,,AF-Q9UJT0-F1-model_v4
TUBG1,P23258,1Z5V;1Z5W;3CB2,
AHR,P35869,5NJ8;7ZUB;8QMO,
ESRRA,P11474,1XB7;2PJL;3D24,
TPSAB1,Q15661,1LTO;2F9N;2F9O,
CELA1,Q9UNI1,,AF-Q9UNI1-F1-model_v4
MAPK9,P45984,3E7O;3NPC;7CML,
MAPK8,P45983,1UKH;1UKI;2G01,
PARP2,Q9UGN5,3KCZ;3KJD;4PJV,
PPP1CA,P62136,3E7A;3E7B;3EGG,
RPL10L,Q96L21,4UG0;4V6X;5LKS,
RPL3,P39023,4UG0;4V6X;5AJ0,
PDK1,Q15118,2Q8F;2Q8G;2Q8H,
ETFDH,Q16134,,AF-Q16134-F1-model_v4
PLA2G1B,P04054,3ELO;6Q42,
FABP1,P07148,2F73;2L67;2L68,
SLK,Q9H2G2,2J51;2JFL;2JFM,
PARP3,Q9Y6F1,2EOC;3C49;3C4H,
KRAS,P01116,1D8D;1D8E;1KZO,
JAK1,P23458,3EYG;3EYH;4E4L,
TYK2,P29597,3LXN;3LXP;3NYX,
ANXA5,P08758,1ANW;1ANX;1AVH,
ROCK2,O75116,4L6Q;4WOT;5U7Q,
PPP3CA,Q08209,1AUI;1M63;1MF8,
MYH7,P12883,2FXM;2FXO;3DTP,
LYN,P07948,1W1F;1WA7;3A4O,
CAMK2G,Q13555,2UX0;2V7O,
KCNN1,Q92952,,AF-Q92952-F1-model_v4
KCNN2,Q9H2S1,5V02;5WBX;5WC5,
KCNN3,Q9UGI6,,AF-Q9UGI6-F1-model_v4
KCNA4,P22459,,AF-P22459-F1-model_v4
CEL,P19835,1F6W;1JMY;6H0T,
ATP6V1C1,P21283,6WM2;6WM3;6WM4,
IDH2,P48735,4JA8;5GIS;5I95,
TRPM7,Q96QT4,,AF-Q96QT4-F1-model_v4
TK2,O00142,,AF-O00142-F1-model_v4
SMO,Q99835,4JKV;4N4W;4O9R,
KRT12,Q99456,,AF-Q99456-F1-model_v4
CHRNA1,P02708,4ZJS;5HBT;9DMG,
CPS1,P31327,2YVQ;4UTR;4UTV,
F12,P00748,4BDW;4BDX;4XDE,
SLC18A1,P54219,8TGG;8TGH;8TGI,
HTR5A,P47898,7UM4;7UM5;7UM6,
GANAB,Q14697,8D43;8EMR,
GANC,Q8TET4,,AF-Q8TET4-F1-model_v4
HMMR,O75330,,AF-O75330-F1-model_v4
SLC19A1,P41440,7TX6;7TX7;7XPZ,
KCNA2,P16389,,AF-P16389-F1-model_v4
KCNA3,P22001,4BGC;7EJ1;7EJ2,
KCNA5,P22460,,AF-P22460-F1-model_v4
KCNA6,P17658,,AF-P17658-F1-model_v4
KCNA7,Q96RP8,,AF-Q96RP8-F1-model_v4
KCNA10,Q16322,,AF-Q16322-F1-model_v4
KCNB1,Q14721,7RE5;7SPD;9O10,
KCNB2,Q92953,,AF-Q92953-F1-model_v4
KCNC1,P48547,7PHH;7PHI;7PHK,
KCNC2,Q96PR1,,AF-Q96PR1-F1-model_v4
KCNC3,Q14003,,AF-Q14003-F1-model_v4
KCND1,Q9NSA2,,AF-Q9NSA2-F1-model_v4
SPHK1,Q9NYA1,3VZB;3VZC;3VZD,
SLC6A11,P48066,9CP4;9CP5,
PSMB9,P28065,6AVO;6E5B;7AWE,
PSMB10,P40306,6AVO;6E5B;6HV3,
PSMB8,P28062,5L5A;5L5B;5L5D,
DDR2,Q16832,2WUH;2Z4F;6FER,
FRK,P42685,,AF-P42685-F1-model_v4
BCR,P11274,1K1F;2AIN;5N6R,
MAP2K2,P36507,1S9I;4H3Q,
MAP3K2,Q9Y2U5,2CU1;2NPT;5EX0,
ANO1,Q5XXA6,,AF-Q5XXA6-F1-model_v4
SLC5A2,P31639,7VSI;7YNJ;7YNK,
SLC5A1,P13866,7SL8;7SLA;7WMV,
CRBN,Q96SW2,4M91;4TZ4;5FQD,
KEAP1,Q14145,1U6D;1ZGK;2FLU,
LIMK1,P53667,3S95;5HVJ;5HVK,
SLC7A7,Q9UM01,8XXI;8XYJ;8YLP,
ERBB4,Q15303,2AHX;2L2T;2LCX,
SLC22A12,Q96S37,8WJG;8WJQ;9B1F,
GABRE,P78334,,AF-P78334-F1-model_v4
GABRG1,Q8N1C3,,AF-Q8N1C3-F1-model_v4
GABRP,O00591,8VSZ;8VV0,
GABRQ,Q9UN88,,AF-Q9UN88-F1-model_v4
TFRC,P02786,1CX8;1DE4;1SUV,
TFR2,Q9UP52,,AF-Q9UP52-F1-model_v4
GRIN2C,Q14957,8E92;8E93;8E94,
HTR3B,O95264,,AF-O95264-F1-model_v4
HTR3C,Q8WXA8,,AF-Q8WXA8-F1-model_v4
HTR3D,Q70Z44,,AF-Q70Z44-F1-model_v4
HTR3E,A5X5Y0,,AF-A5X5Y0-F1-model_v4
ORM1,P02763,3KQ0,
ORM2,P19652,3APU;3APV;3APW,
PRKCB,P05771,2I0E;8SE1;8SE2,
PRKCG,P05129,2E73;2UZP,
PRKCI,P41743,1VD2;1WMH;1ZRZ,
PRKCQ,Q04759,1XJD;2ENJ;2ENN,
PRKCZ,Q05513,,AF-Q05513-F1-model_v4
SCN7A,Q01118,7TJ8;7TJ9,
CACNG2,Q9Y698,6DLZ;6DM0;6DM1,
CACNG3,O60359,,AF-O60359-F1-model_v4
CACNG4,Q9UBN1,,AF-Q9UBN1-F1-model_v4
CACNG5,Q9UF02,,AF-Q9UF02-F1-model_v4
CACNG6,Q9BXT2,,AF-Q9BXT2-F1-model_v4
CACNG7,P62955,,AF-P62955-F1-model_v4
CACNG8,Q8WXS5,,AF-Q8WXS5-F1-model_v4
CACNA2D3,Q8IZS8,,AF-Q8IZS8-F1-model_v4
CACNA2D4,Q7Z3S7,,AF-Q7Z3S7-F1-model_v4
CACNA1E,Q15878,3BXL;7XLQ;7YG5,
KCNJ10,P78508,,AF-P78508-F1-model_v4
KCNJ14,Q9UNX9,,AF-Q9UNX9-F1-model_v4
KCNJ15,Q99712,,AF-Q99712-F1-model_v4
KCNMB1,Q16558,,AF-Q16558-F1-model_v4
KCNMB2,Q9Y691,1JO6,
KCNMB3,Q9NPA1,,AF-Q9NPA1-F1-model_v4
KCNMB4,Q86W47,5Y7L;6V22;6V35,
PRKAA2,P54646,2H6D;2LTU;2YZA,
PRKAB2,O43741,2F15;2V8Q;2V92,
PRKAG1,P54619,2UV4;2UV5;2UV6,
PRKAG2,Q9UGJ0,,AF-Q9UGJ0-F1-model_v4
PRKAG3,Q9UGI9,,AF-Q9UGI9-F1-model_v4
MYLK2,Q9H1R3,2LV6;3KF9,
ATP1B1,P05026,7E1Z;7E20;7E21,
ESRRB,O95718,1LO1;6LIT;6LN4,
ATP1B2,P14415,,AF-P14415-F1-model_v4
ATP1B3,P54709,,AF-P54709-F1-model_v4
ATP1A2,P50993,,AF-P50993-F1-model_v4
ATP1A3,P13637,8D3U;8D3V;8D3W,
RYR2,Q92736,4JKQ;6Y4O;6Y4P,
CNGA1,P29973,7LFT;7LFW;7LFX,
FGR,P09769,7JT9;7UY0;7UY3,
RELA,Q04206,1NFI;2LSP;2O61,
PTAFR,P25105,5ZKP;5ZKQ;8XYD,
,Q9UE69,,AF-Q9UE69-F1-model_v4
GPBAR1,Q8TDU6,7BW0;7CFM;7CFN,
P2RX4,Q99571,9BQH;9BQI;9C48,
DPYSL2,Q16555,2GSE;2VM8;5LXX,
HCRTR1,O43613,4ZJ8;4ZJC;6TO7,
HCRTR2,O43614,4S0V;5WQC;5WS3,
S1PR1,P21453,3V2W;3V2Y;7EO2,
CRHR1,P34998,2L27;3EHS;3EHT,
TRHR,P34981,7WKD;7X1T;7X1U,
HDAC11,Q96DB2,,AF-Q96DB2-F1-model_v4
HDAC4,P56524,2H8N;2O94;2VQJ,
HDAC5,Q9UQL6,5UWI;8Q9P,
HDAC7,Q8WUI4,3C0Y;3C0Z;3C10,
HDAC8,Q9BY41,1T64;1T67;1T69,
HDAC10,Q969S8,,AF-Q969S8-F1-model_v4
CALM2,P0DP24,3O77;3O78;5COC,
CALM3,P0DP25,5COC;5J03;6K67,
DGAT2,Q96PD7,,AF-Q96PD7-F1-model_v4
ANXA4,P09525,2ZOC;9GA6;9GA7,
KLK3,P07288,2ZCH;2ZCK;2ZCL,
CALCRL,Q16602,3AQF;3N7P;3N7R,
PCNA,P12004,1AXC;1U76;1U7B,
KRT2,P35908,,AF-P35908-F1-model_v4
TRPV4,Q9HBA0,4DX1;4DX2;7AA5,
SSTR4,P31391,7XMS;7XMT,
NOD2,Q9HC29,,AF-Q9HC29-F1-model_v4
DIO3,P55073,,AF-P55073-F1-model_v4
SLC5A5,Q92911,,AF-Q92911-F1-model_v4
TEC,P42680,2LUL,
STK36,Q9NRP7,,AF-Q9NRP7-F1-model_v4
TXK,P42681,2DM0,
AXL,P30530,2C5D;4RA0;5U6B,
BMX,P51813,2EKX;2YS2;3SXR,
GSK3A,P49840,7SXF;7SXG,
LIMK2,P53671,1X6A;4TPT;5NXD,
MST1R,Q04912,3PLS;4FWW;4QT8,
NTRK3,Q16288,1WWC;3V5Q;4YMJ,
ROS1,P08922,3ZBF;4UXL;7Z5W,
GAST,P01350,5WRJ;7F8V;7F8W,
EZH2,Q15910,4MI0;4MI5;5GSA,
SRD5A3,Q9H8P0,,AF-Q9H8P0-F1-model_v4
KCNH6,Q9H252,,AF-Q9H252-F1-model_v4
KCNH7,Q9NS40,6Y7Q,
KCNJ2,P63252,6SPZ;7ZDZ;8QQL,
KCNJ4,P48050,3GJ9,
AQP3,Q92482,,AF-Q92482-F1-model_v4
EPAS1,Q99814,1P97;2A24;3F1N,
MC4R,P32245,6W25;7AUE;7F53,
XPO1,O14980,1W9C;2L1L;3GB8,
PDE4,Q86V67,,AF-Q86V67-F1-model_v4
PGA5,P0DJD9,,AF-P0DJD9-F1-model_v4
SLC9A3,P48764,7X2U,
PDE3B,Q13370,1SO2;1SOJ;8SYC,
PDE1B,Q01064,1TAZ;4NPV;4NPW,
GRIK2,Q13002,3QXM;5CMM,
GRIK3,Q13003,,AF-Q13003-F1-model_v4
GRIK4,Q16099,,AF-Q16099-F1-model_v4
GRIK5,Q16478,,AF-Q16478-F1-model_v4
DMD,P11532,1DXX;1EG3;1EG4,
P2RX3,P56373,5SVJ;5SVK;5SVL,
DIO1,P49895,,AF-P49895-F1-model_v4
ACLY,P53396,3MWD;3MWE;3PFF,
SLC23A2,Q9UGH3,,AF-Q9UGH3-F1-model_v4
S1PR3,Q99500,7C4S;7EW2;7EW3,
S1PR4,O95977,2DCO,
TMPRSS2,O15393,7MEQ;7XYD;7Y0E,
CHRNA5,P30532,,AF-P30532-F1-model_v4
CHRNA6,Q15825,8ZRN;8ZRP,
CHRNA9,Q9UGM1,4D01;4UXU;4UY2,
CHRNB3,Q05901,8A5U,
CA13,Q8N1Q1,3CZV;3D0N;3DA2,
CA5A,P35218,,AF-P35218-F1-model_v4
CA5B,Q9Y2D0,,AF-Q9Y2D0-F1-model_v4
CCDC51,Q96ER9,,AF-Q96ER9-F1-model_v4
ATP2B1,P20020,6A69,
ATP2B2,Q01814,,AF-Q01814-F1-model_v4
ATP2B3,Q16720,,AF-Q16720-F1-model_v4
ATP2B4,P23634,1CFF;2KNE,
SLC38A1,Q9H2H9,,AF-Q9H2H9-F1-model_v4
SLC38A2,Q96QD8,,AF-Q96QD8-F1-model_v4
SLC38A3,Q99624,,AF-Q99624-F1-model_v4
SLC38A4,Q969I6,,AF-Q969I6-F1-model_v4
ATP2C2,O75185,,AF-O75185-F1-model_v4
ATP2A1,O14983,,AF-O14983-F1-model_v4
ATP2A2,P16615,5ZTF;6JJU;6LLE,
DNMT3B,Q9UBC3,3FLG;3QKJ;5CIU,
GUCY1B1,Q02153,2WZ1;3UVJ;4NI2,
LYVE1,Q9Y5Y7,8OS2;8OXD,
ATP1A4,Q13733,8ZYJ,
GUCY1A1,Q02108,3UVJ;4NI2;6JT0,
GUCY1B2,O75343,,AF-O75343-F1-model_v4
C5AR1,P21730,2K3U;5O9H;6C1Q,
NFE2L2,Q16236,2FLU;2LZ1;3ZGC,
MAP2K4,P45985,3ALN;3ALO;3VUT,
PRIM1,P49642,4BPU;4BPW;4BPX,
MEN1,O00255,3U84;3U85;3U86,
TNFSF10,P50591,1D0G;1D2Q;1D4V,
AKT3,Q9Y243,2X18;8ZXW,
CXCR2,P25025,4Q3H;5TYT;6KVA,
GNRH1,P01148,4D5M;9U4W,
POLQ,O75417,4X0P;4X0Q;5A9F,
REL,Q04864,,AF-Q04864-F1-model_v4
POLG,P54098,3IKM;4ZTU;4ZTZ,
POLG2,Q9UHN1,2G4C;3IKL;3IKM,
PSEN1,P49768,2KR6;4UIS;5A63,
MOCS1,Q9NZB8,,AF-Q9NZB8-F1-model_v4
PSEN2,P49810,7Y5X;7Y5Z,
EEF2K,O00418,5J8H;5KS5;6NX4,
CALM1,P0DP23,1CDL;1CLL;1CTR,
CAPN2,P17655,1KFU;1KFX;2NQA,
POLD1,P28340,6S1M;6S1N;6S1O,
PPOX,P50336,3NKS;4IVM;4IVO,
GUCY2D,Q02846,,AF-Q02846-F1-model_v4
RELB,Q01201,8G8R,
LIPE,Q05469,8ZVQ,
CNGA2,Q16280,,AF-Q16280-F1-model_v4
ACKR1,Q16570,4NUU;4NUV;7P93,
POLN,Q7Z5Q5,4XVI;4XVK;4XVL,
APH1B,Q8WW43,8OQY;8OQZ,
CPT1B,Q92523,,AF-Q92523-F1-model_v4
NCSTN,Q92542,2N7Q;2N7R;4UIS,
POLD4,Q9HCU8,6HVO;6S1M;6S1N,
MRM2,Q9UI43,2NYU;7O9K;7O9M,
TIRAP,P55985,,AF-P55985-F1-model_v4
SLC11A1,P49279,9F6P;9F6Q,
HP,P00738,4WJG;4X0L;5HU6,
ABCD3,P28288,8Z0F;8Z9X,
HSD17B5,P51660,,AF-P51660-F1-model_v4
