DiseaseName,DiseaseID,DrugBankID,DrugName
Lymphoma,MESH:D008223,DB00570,Vinblastine
Coma,MESH:D003128,DB00570,Vinblastine
Sarcoma,MESH:D012509,DB00570,Vinblastine
Histiocytosis,MESH:D015614,DB00570,Vinblastine
Mycosis Fungoides,MESH:D009182,DB00570,Vinblastine
Atherosclerosis,MESH:D050197,DB00571,Propranolol
Hypertension,MESH:D006973,DB00571,Propranolol
Atrial Fibrillation,MESH:D001281,DB00571,Propranolol
Myocardial Infarction,MESH:D009203,DB00571,Propranolol
Tremor,MESH:D014202,DB00571,Propranolol
Angina Pectoris,MESH:D000787,DB00571,Propranolol
Pheochromocytoma,MESH:D010673,DB00571,Propranolol
Infarction,MESH:D007238,DB00571,Propranolol
Essential Tremor,MESH:D020329,DB00571,Propranolol
Hemangioma,MESH:D006391,DB00571,Propranolol
Sclerosis,MESH:D012598,DB00571,Propranolol
Poisoning,MESH:D011041,DB00572,Atropine
Diarrhea,MESH:D003967,DB00572,Atropine
Pain,MESH:D010146,DB00573,Fenoprofen
Osteoarthritis,MESH:D010003,DB00573,Fenoprofen
Arthritis,MESH:D001168,DB00573,Fenoprofen
Signs and Symptoms,MESH:D012816,DB00573,Fenoprofen
Seizures,MESH:D012640,DB00574,Fenfluramine
Pain,MESH:D010146,DB00575,Clonidine
Hypertension,MESH:D006973,DB00575,Clonidine
Pheochromocytoma,MESH:D010673,DB00575,Clonidine
Cancer Pain,MESH:D000072716,DB00575,Clonidine
Infections,MESH:D007239,DB00578,Carbenicillin
Obesity,MESH:D009765,DB00579,Mazindol
Hypertension,MESH:D006973,DB00579,Mazindol
Body Weight,MESH:D001835,DB00579,Mazindol
Osteoarthritis,MESH:D010003,DB00580,Valdecoxib
Arthritis,MESH:D001168,DB00580,Valdecoxib
Gallstones,MESH:D042882,DB00581,Lactulose
Coma,MESH:D003128,DB00581,Lactulose
Disease,MESH:D004194,DB00581,Lactulose
Constipation,MESH:D003248,DB00581,Lactulose
Candidiasis,MESH:D002177,DB00582,Voriconazole
Aspergillosis,MESH:D001228,DB00582,Voriconazole
Infections,MESH:D007239,DB00582,Voriconazole
Malonic aciduria,MESH:C535702,DB00583,Levocarnitine
Hyperlipoproteinemias,MESH:D006951,DB00583,Levocarnitine
Disease,MESH:D004194,DB00583,Levocarnitine
Propionic Acidemia,MESH:D056693,DB00583,Levocarnitine
Systemic carnitine deficiency,MESH:C536778,DB00583,Levocarnitine
Hypertension,MESH:D006973,DB00584,Enalapril
Heart Failure,MESH:D006333,DB00584,Enalapril
Ventricular Dysfunction,MESH:D018754,DB00584,Enalapril
Tics,MESH:D020323,DB00584,Enalapril
Duodenal Ulcer,MESH:D004381,DB00585,Nizatidine
Ulcer,MESH:D014456,DB00585,Nizatidine
Peptic Ulcer,MESH:D010437,DB00585,Nizatidine
Disease,MESH:D004194,DB00585,Nizatidine
Pain,MESH:D010146,DB00586,Diclofenac
Inflammation,MESH:D007249,DB00586,Diclofenac
Osteoarthritis,MESH:D010003,DB00586,Diclofenac
Arthritis,MESH:D001168,DB00586,Diclofenac
Ulcer,MESH:D014456,DB00586,Diclofenac
Asthma,MESH:D001249,DB00587,Cinalukast
Asthma,MESH:D001249,DB00588,Fluticasone propionate
Rhinitis,MESH:D012220,DB00588,Fluticasone propionate
Disease,MESH:D004194,DB00589,Lisuride
Hypertension,MESH:D006973,DB00590,Doxazosin
Hypertrophy,MESH:D006984,DB00590,Doxazosin
Dermatitis,MESH:D003872,DB00591,Fluocinolone acetonide
Edema,MESH:D004487,DB00591,Fluocinolone acetonide
Keloid,MESH:D007627,DB00591,Fluocinolone acetonide
Uveitis,MESH:D014605,DB00591,Fluocinolone acetonide
Psoriasis,MESH:D011565,DB00591,Fluocinolone acetonide
Eczema,MESH:D004485,DB00591,Fluocinolone acetonide
Macular Edema,MESH:D008269,DB00591,Fluocinolone acetonide
Hemorrhoids,MESH:D006484,DB00591,Fluocinolone acetonide
Intestinal Obstruction,MESH:D007415,DB00592,Piperazine
Epilepsy,MESH:D004827,DB00593,Ethosuximide
Hypertension,MESH:D006973,DB00594,Amiloride
Heart Failure,MESH:D006333,DB00594,Amiloride
Tics,MESH:D020323,DB00594,Amiloride
Pneumonia,MESH:D011014,DB00595,Oxytetracycline
Infections,MESH:D007239,DB00595,Oxytetracycline
Psoriasis,MESH:D011565,DB00596,Ulobetasol
Hypertension,MESH:D006973,DB00598,Labetalol
Tics,MESH:D020323,DB00598,Labetalol
Vitiligo,MESH:D014820,DB00600,Monobenzone
Pneumonia,MESH:D011014,DB00601,Linezolid
Infections,MESH:D007239,DB00601,Linezolid
Rosacea,MESH:D012393,DB00602,Ivermectin
Disease,MESH:D004194,DB00602,Ivermectin
Hyperplasia,MESH:D006965,DB00603,Medroxyprogesterone acetate
Carcinoma,MESH:D002277,DB00603,Medroxyprogesterone acetate
Pain,MESH:D010146,DB00603,Medroxyprogesterone acetate
Endometriosis,MESH:D004715,DB00603,Medroxyprogesterone acetate
Osteoporosis,MESH:D010024,DB00603,Medroxyprogesterone acetate
Atrophy,MESH:D001284,DB00603,Medroxyprogesterone acetate
Endometrial Hyperplasia,MESH:D004714,DB00603,Medroxyprogesterone acetate
Amenorrhea,MESH:D000568,DB00603,Medroxyprogesterone acetate
Gastroesophageal Reflux,MESH:D005764,DB00604,Cisapride
Disease,MESH:D004194,DB00604,Cisapride
Heartburn,MESH:D006356,DB00604,Cisapride
Pain,MESH:D010146,DB00605,Sulindac
Gout,MESH:D006073,DB00605,Sulindac
Osteoarthritis,MESH:D010003,DB00605,Sulindac
Arthritis,MESH:D001168,DB00605,Sulindac
Signs and Symptoms,MESH:D012816,DB00605,Sulindac
Edema,MESH:D004487,DB00606,Cyclothiazide
Hypertension,MESH:D006973,DB00606,Cyclothiazide
Heart Failure,MESH:D006333,DB00606,Cyclothiazide
Infections,MESH:D007239,DB00607,Nafcillin
Malaria,MESH:D008288,DB00608,Chloroquine
Infections,MESH:D007239,DB00608,Chloroquine
Disease,MESH:D004194,DB00608,Chloroquine
Tuberculosis,MESH:D014376,DB00609,Ethionamide
Hypotension,MESH:D007022,DB00610,Metaraminol
Hemorrhage,MESH:D006470,DB00610,Metaraminol
Shock,MESH:D012769,DB00610,Metaraminol
Pain,MESH:D010146,DB00611,Butorphanol
Hypertension,MESH:D006973,DB00612,Bisoprolol
Heart Failure,MESH:D006333,DB00612,Bisoprolol
Atrial Fibrillation,MESH:D001281,DB00612,Bisoprolol
Angina Pectoris,MESH:D000787,DB00612,Bisoprolol
Malaria,MESH:D008288,DB00613,Amodiaquine
Diarrhea,MESH:D003967,DB00614,Furazolidone
Enteritis,MESH:D004751,DB00614,Furazolidone
Disease,MESH:D004194,DB00615,Rifabutin
Seizures,MESH:D012640,DB00617,Paramethadione
Malaria,MESH:D008288,DB00618,Demeclocycline
Hyponatremia,MESH:D007010,DB00618,Demeclocycline
Infections,MESH:D007239,DB00618,Demeclocycline
Disease,MESH:D004194,DB00618,Demeclocycline
Urinary Tract Infections,MESH:D014552,DB00618,Demeclocycline
Bacterial Infections,MESH:D001424,DB00618,Demeclocycline
Blast Crisis,MESH:D001752,DB00619,Imatinib
Leukemia,MESH:D007938,DB00619,Imatinib
Gastrointestinal Stromal Tumors,MESH:D046152,DB00619,Imatinib
C SYNDROME,OMIM:211750,DB00619,Imatinib
Coma,MESH:D003128,DB00619,Imatinib
Sarcoma,MESH:D012509,DB00619,Imatinib
Disease,MESH:D004194,DB00619,Imatinib
Hypereosinophilic Syndrome,MESH:D017681,DB00619,Imatinib
Mastocytosis,MESH:D008415,DB00619,Imatinib
Fibrosarcoma,MESH:D005354,DB00619,Imatinib
Dermatitis,MESH:D003872,DB00620,Triamcinolone
Edema,MESH:D004487,DB00620,Triamcinolone
Hyperplasia,MESH:D006965,DB00620,Triamcinolone
Nephrotic Syndrome,MESH:D009404,DB00620,Triamcinolone
Pain,MESH:D010146,DB00620,Triamcinolone
Inflammation,MESH:D007249,DB00620,Triamcinolone
Alopecia,MESH:D000505,DB00620,Triamcinolone
Drug Hypersensitivity,MESH:D004342,DB00620,Triamcinolone
Hypersensitivity,MESH:D006967,DB00620,Triamcinolone
Pneumonia,MESH:D011014,DB00620,Triamcinolone
Gout,MESH:D006073,DB00620,Triamcinolone
Osteoarthritis,MESH:D010003,DB00620,Triamcinolone
Berylliosis,MESH:D001607,DB00620,Triamcinolone
Anemia,MESH:D000740,DB00620,Triamcinolone
Erythema,MESH:D004890,DB00620,Triamcinolone
Keloid,MESH:D007627,DB00620,Triamcinolone
Colitis,MESH:D003092,DB00620,Triamcinolone
Asthma,MESH:D001249,DB00620,Triamcinolone
Proteinuria,MESH:D011507,DB00620,Triamcinolone
Multiple Sclerosis,MESH:D009103,DB00620,Triamcinolone
Serum Sickness,MESH:D012713,DB00620,Triamcinolone
Thrombocytopenia,MESH:D013921,DB00620,Triamcinolone
Uveitis,MESH:D014605,DB00620,Triamcinolone
Sarcoidosis,MESH:D012507,DB00620,Triamcinolone
Leukemia,MESH:D007938,DB00620,Triamcinolone
Lymphoma,MESH:D008223,DB00620,Triamcinolone
Dermatomyositis,MESH:D003882,DB00620,Triamcinolone
Pemphigus,MESH:D010392,DB00620,Triamcinolone
Meningitis,MESH:D008581,DB00620,Triamcinolone
Hypercalcemia,MESH:D006934,DB00620,Triamcinolone
Arthritis,MESH:D001168,DB00620,Triamcinolone
C SYNDROME,OMIM:211750,DB00620,Triamcinolone
Rhinitis,MESH:D012220,DB00620,Triamcinolone
Synovitis,MESH:D013585,DB00620,Triamcinolone
Tuberculosis,MESH:D014376,DB00620,Triamcinolone
Alopecia Areata,MESH:D000506,DB00620,Triamcinolone
Arteritis,MESH:D001167,DB00620,Triamcinolone
Polymyositis,MESH:D017285,DB00620,Triamcinolone
Ulcer,MESH:D014456,DB00620,Triamcinolone
Myositis,MESH:D009220,DB00620,Triamcinolone
Sclerosis,MESH:D012598,DB00620,Triamcinolone
Macular Edema,MESH:D008269,DB00620,Triamcinolone
Mycosis Fungoides,MESH:D009182,DB00620,Triamcinolone
Enteritis,MESH:D004751,DB00620,Triamcinolone
Weight Gain,MESH:D015430,DB00621,Oxandrolone
Weight Loss,MESH:D015431,DB00621,Oxandrolone
Hypertension,MESH:D006973,DB00622,Nicardipine
Psychotic Disorders,MESH:D011618,DB00623,Fluphenazine
Tic Disorders,MESH:D013981,DB00623,Fluphenazine
Hypogonadism,MESH:D007006,DB00624,Testosterone
Pneumonia,MESH:D011014,DB00626,Bacitracin
Infections,MESH:D007239,DB00626,Bacitracin
Atherosclerosis,MESH:D050197,DB00627,Niacin
Coronary Artery Disease,MESH:D003324,DB00627,Niacin
Myocardial Infarction,MESH:D009203,DB00627,Niacin
Hypertriglyceridemia,MESH:D015228,DB00627,Niacin
Infarction,MESH:D007238,DB00627,Niacin
Disease,MESH:D004194,DB00627,Niacin
Sclerosis,MESH:D012598,DB00627,Niacin
Seizures,MESH:D012640,DB00628,Clorazepic acid
Anxiety Disorders,MESH:D001008,DB00628,Clorazepic acid
Osteoporosis,MESH:D010024,DB00630,Alendronic acid
Disease,MESH:D004194,DB00630,Alendronic acid
Leukemia,MESH:D007938,DB00631,Clofarabine
Blister,MESH:D001768,DB00632,Docosanol
Fever,MESH:D005334,DB00632,Docosanol
Herpes Simplex,MESH:D006561,DB00632,Docosanol
Schizophrenia,MESH:D012559,DB00633,Dexmedetomidine
Keratitis,MESH:D007634,DB00634,Sulfacetamide
Rhinitis,MESH:D012220,DB00637,Astemizole
Diabetes Mellitus,MESH:D003920,DB00638,Inulin
Hyperglycemia,MESH:D006943,DB00638,Inulin
Candidiasis,MESH:D002177,DB00639,Butoconazole
Infections,MESH:D007239,DB00639,Butoconazole
Tachycardia,MESH:D013610,DB00640,Adenosine
Diabetes Mellitus,MESH:D003920,DB00641,Simvastatin
Atherosclerosis,MESH:D050197,DB00641,Simvastatin
Hypercholesterolemia,MESH:D006937,DB00641,Simvastatin
Coronary Artery Disease,MESH:D003324,DB00641,Simvastatin
Stroke,MESH:D020521,DB00641,Simvastatin
Myocardial Infarction,MESH:D009203,DB00641,Simvastatin
Acute Coronary Syndrome,MESH:D054058,DB00641,Simvastatin
Aortic Aneurysm,MESH:D001014,DB00641,Simvastatin
Hypertriglyceridemia,MESH:D015228,DB00641,Simvastatin
Infarction,MESH:D007238,DB00641,Simvastatin
Disease,MESH:D004194,DB00641,Simvastatin
Sclerosis,MESH:D012598,DB00641,Simvastatin
Aneurysm,MESH:D000783,DB00641,Simvastatin
Mesothelioma,MESH:D008654,DB00642,Pemetrexed
Disease,MESH:D004194,DB00642,Pemetrexed
Infections,MESH:D007239,DB00643,Mebendazole
Blister,MESH:D001768,DB00645,Dyclonine
Fever,MESH:D005334,DB00645,Dyclonine
Pruritus,MESH:D011537,DB00646,Nystatin
Birth Weight,MESH:D001724,DB00646,Nystatin
Candidiasis,MESH:D002177,DB00646,Nystatin
Infections,MESH:D007239,DB00646,Nystatin
Pain,MESH:D010146,DB00647,Dextropropoxyphene
Adrenocortical Carcinoma,MESH:D018268,DB00648,Mitotane
Carcinoma,MESH:D002277,DB00648,Mitotane
HIV Infections,MESH:D015658,DB00649,Stavudine
Infections,MESH:D007239,DB00649,Stavudine
Anemia,MESH:D000740,DB00650,Leucovorin
Osteosarcoma,MESH:D012516,DB00650,Leucovorin
Coma,MESH:D003128,DB00650,Leucovorin
Sarcoma,MESH:D012509,DB00650,Leucovorin
Folic Acid Deficiency,MESH:D005494,DB00650,Leucovorin
Emphysema,MESH:D004646,DB00651,Dyphylline
Asthma,MESH:D001249,DB00651,Dyphylline
Spasm,MESH:D013035,DB00651,Dyphylline
Pain,MESH:D010146,DB00652,Pentazocine
Nephritis,MESH:D009393,DB00653,Magnesium sulfate
Hypocalcemia,MESH:D006996,DB00653,Magnesium sulfate
Tetany,MESH:D013746,DB00653,Magnesium sulfate
Magnesium Deficiency,MESH:D008275,DB00653,Magnesium sulfate
Hypertension,MESH:D006973,DB00654,Latanoprost
Glaucoma,MESH:D005901,DB00654,Latanoprost
Coma,MESH:D003128,DB00654,Latanoprost
Ocular Hypertension,MESH:D009798,DB00654,Latanoprost
Schizophrenia,MESH:D012559,DB00656,Trazodone
Depressive Disorder,MESH:D003866,DB00656,Trazodone
Dementia,MESH:D003704,DB00656,Trazodone
Disease,MESH:D004194,DB00656,Trazodone
Hypertension,MESH:D006973,DB00657,Mecamylamine
Essential Hypertension,MESH:D000075222,DB00657,Mecamylamine
Disease,MESH:D004194,DB00658,Sevelamer
Pain,MESH:D010146,DB00660,Metaxalone
Hypertension,MESH:D006973,DB00661,Verapamil
Atrial Fibrillation,MESH:D001281,DB00661,Verapamil
Tachycardia,MESH:D013610,DB00661,Verapamil
Headache,MESH:D006261,DB00661,Verapamil
Nausea,MESH:D009325,DB00662,Trimethobenzamide
Vomiting,MESH:D014839,DB00662,Trimethobenzamide
Gastroenteritis,MESH:D005759,DB00662,Trimethobenzamide
Enteritis,MESH:D004751,DB00662,Trimethobenzamide
Dermatitis,MESH:D003872,DB00663,Flumethasone
Psoriasis,MESH:D011565,DB00663,Flumethasone
Endometriosis,MESH:D004715,DB00666,Nafarelin
Edema,MESH:D004487,DB00668,Epinephrine
Hypersensitivity,MESH:D006967,DB00668,Epinephrine
Hypotension,MESH:D007022,DB00668,Epinephrine
Asthma,MESH:D001249,DB00668,Epinephrine
Serum Sickness,MESH:D012713,DB00668,Epinephrine
Urticaria,MESH:D014581,DB00668,Epinephrine
Anaphylaxis,MESH:D000707,DB00668,Epinephrine
Fever,MESH:D005334,DB00668,Epinephrine
Shock,MESH:D012769,DB00668,Epinephrine
Sinusitis,MESH:D012852,DB00668,Epinephrine
Heart Block,MESH:D006327,DB00668,Epinephrine
Glaucoma,MESH:D005901,DB00668,Epinephrine
Rhinitis,MESH:D012220,DB00668,Epinephrine
Coma,MESH:D003128,DB00668,Epinephrine
Tics,MESH:D020323,DB00668,Epinephrine
Headache,MESH:D006261,DB00669,Sumatriptan
Duodenal Ulcer,MESH:D004381,DB00670,Pirenzepine
Ulcer,MESH:D014456,DB00670,Pirenzepine
Peptic Ulcer,MESH:D010437,DB00670,Pirenzepine
Otitis Media,MESH:D010033,DB00671,Cefixime
Pneumonia,MESH:D011014,DB00671,Cefixime
Infections,MESH:D007239,DB00671,Cefixime
Urinary Tract Infections,MESH:D014552,DB00671,Cefixime
Nausea,MESH:D009325,DB00673,Aprepitant
Vomiting,MESH:D014839,DB00673,Aprepitant
Dementia,MESH:D003704,DB00674,Galantamine
Carcinoma,MESH:D002277,DB00675,Tamoxifen
Carcinoma in Situ,MESH:D002278,DB00675,Tamoxifen
Glaucoma,MESH:D005901,DB00677,Isoflurophate
Coma,MESH:D003128,DB00677,Isoflurophate
Hypertension,MESH:D006973,DB00678,Losartan
Stroke,MESH:D020521,DB00678,Losartan
Hypertrophy,MESH:D006984,DB00678,Losartan
Proteinuria,MESH:D011507,DB00678,Losartan
Schizophrenia,MESH:D012559,DB00679,Thioridazine
Infections,MESH:D007239,DB00681,Amphotericin B
Stroke,MESH:D020521,DB00682,Warfarin
Atrial Fibrillation,MESH:D001281,DB00682,Warfarin
Myocardial Infarction,MESH:D009203,DB00682,Warfarin
Pulmonary Embolism,MESH:D011655,DB00682,Warfarin
Infarction,MESH:D007238,DB00682,Warfarin
Thromboembolism,MESH:D013923,DB00682,Warfarin
Venous Thromboembolism,MESH:D054556,DB00682,Warfarin
Disease,MESH:D004194,DB00682,Warfarin
Embolism,MESH:D004617,DB00682,Warfarin
Seizures,MESH:D012640,DB00683,Midazolam
Epilepsy,MESH:D004827,DB00683,Midazolam
Status Epilepticus,MESH:D013226,DB00683,Midazolam
Amnesia,MESH:D000647,DB00683,Midazolam
Fibrosis,MESH:D005355,DB00684,Tobramycin
Staphylococcal Infections,MESH:D013203,DB00684,Tobramycin
Peritonitis,MESH:D010538,DB00684,Tobramycin
Meningitis,MESH:D008581,DB00684,Tobramycin
Cystic Fibrosis,MESH:D003550,DB00684,Tobramycin
Infections,MESH:D007239,DB00684,Tobramycin
Respiratory Tract Infections,MESH:D012141,DB00684,Tobramycin
Urinary Tract Infections,MESH:D014552,DB00684,Tobramycin
Tics,MESH:D020323,DB00684,Tobramycin
Bacterial Infections,MESH:D001424,DB00684,Tobramycin
Infections,MESH:D007239,DB00685,Trovafloxacin
Pain,MESH:D010146,DB00686,Pentosan polysulfate
Cystitis,MESH:D003556,DB00686,Pentosan polysulfate
Disease,MESH:D004194,DB00687,Fludrocortisone
Dermatitis,MESH:D003872,DB00688,Mycophenolate mofetil
Hepatitis,MESH:D006505,DB00688,Mycophenolate mofetil
Nephritis,MESH:D009393,DB00688,Mycophenolate mofetil
Infections,MESH:D007239,DB00689,Cephaloglycin
Hypertension,MESH:D006973,DB00691,Moexipril
Necrosis,MESH:D009336,DB00692,Phentolamine
Pheochromocytoma,MESH:D010673,DB00692,Phentolamine
Leukemia,MESH:D007938,DB00694,Daunorubicin
Edema,MESH:D004487,DB00695,Furosemide
Nephrotic Syndrome,MESH:D009404,DB00695,Furosemide
Hypertension,MESH:D006973,DB00695,Furosemide
Heart Failure,MESH:D006333,DB00695,Furosemide
Pulmonary Edema,MESH:D011654,DB00695,Furosemide
C SYNDROME,OMIM:211750,DB00695,Furosemide
Disease,MESH:D004194,DB00695,Furosemide
Headache,MESH:D006261,DB00696,Ergotamine
Muscle Spasticity,MESH:D009128,DB00697,Tizanidine
Infections,MESH:D007239,DB00698,Nitrofurantoin
Urinary Tract Infections,MESH:D014552,DB00698,Nitrofurantoin
Macular Degeneration,MESH:D008268,DB00699,Nicergoline
Ischemia,MESH:D007511,DB00699,Nicergoline
Dementia,MESH:D003704,DB00699,Nicergoline
Heart Failure,MESH:D006333,DB00700,Eplerenone
Myocardial Infarction,MESH:D009203,DB00700,Eplerenone
Infarction,MESH:D007238,DB00700,Eplerenone
Disease,MESH:D004194,DB00702,Icodextrin
Glaucoma,MESH:D005901,DB00703,Methazolamide
Coma,MESH:D003128,DB00703,Methazolamide
Hyperplasia,MESH:D006965,DB00706,Tamsulosin
Prostatic Hyperplasia,MESH:D011470,DB00706,Tamsulosin
Prostatitis,MESH:D011472,DB00706,Tamsulosin
Signs and Symptoms,MESH:D012816,DB00706,Tamsulosin
Pain,MESH:D010146,DB00708,Sufentanil
Hepatitis,MESH:D006505,DB00709,Lamivudine
Hepatitis B,MESH:D006509,DB00709,Lamivudine
Osteoporosis,MESH:D010024,DB00710,Ibandronate
Disease,MESH:D004194,DB00711,Diethylcarbamazine
Eosinophilia,MESH:D004802,DB00711,Diethylcarbamazine
Pulmonary Eosinophilia,MESH:D011657,DB00711,Diethylcarbamazine
Pain,MESH:D010146,DB00712,Flurbiprofen
Inflammation,MESH:D007249,DB00712,Flurbiprofen
Miosis,MESH:D015877,DB00712,Flurbiprofen
Dysmenorrhea,MESH:D004412,DB00712,Flurbiprofen
Arthritis,MESH:D001168,DB00712,Flurbiprofen
Infections,MESH:D007239,DB00713,Oxacillin
Disease,MESH:D004194,DB00714,Apomorphine
Panic Disorder,MESH:D016584,DB00715,Paroxetine
Irritable Bowel Syndrome,MESH:D043183,DB00715,Paroxetine
Asthma,MESH:D001249,DB00716,Nedocromil
Pain,MESH:D010146,DB00717,Norethisterone
Endometriosis,MESH:D004715,DB00717,Norethisterone
Osteoporosis,MESH:D010024,DB00717,Norethisterone
Atrophy,MESH:D001284,DB00717,Norethisterone
Hepatitis,MESH:D006505,DB00718,Adefovir dipivoxil
Hepatitis B,MESH:D006509,DB00718,Adefovir dipivoxil
Disease,MESH:D004194,DB00718,Adefovir dipivoxil
Rhinitis,MESH:D012220,DB00719,Azatadine
Osteolysis,MESH:D010014,DB00720,Clodronic acid
Hypercalcemia,MESH:D006934,DB00720,Clodronic acid
Hypertension,MESH:D006973,DB00722,Lisinopril
Heart Failure,MESH:D006333,DB00722,Lisinopril
Myocardial Infarction,MESH:D009203,DB00722,Lisinopril
Infarction,MESH:D007238,DB00722,Lisinopril
Hypotension,MESH:D007022,DB00723,Methoxamine
Duodenal Ulcer,MESH:D004381,DB00725,Homatropine methylbromide
Ulcer,MESH:D014456,DB00725,Homatropine methylbromide
Peptic Ulcer,MESH:D010437,DB00725,Homatropine methylbromide
Pain,MESH:D010146,DB00727,Nitroglycerin
Hypertension,MESH:D006973,DB00727,Nitroglycerin
Heart Failure,MESH:D006333,DB00727,Nitroglycerin
Coronary Artery Disease,MESH:D003324,DB00727,Nitroglycerin
Hypotension,MESH:D007022,DB00727,Nitroglycerin
Myocardial Infarction,MESH:D009203,DB00727,Nitroglycerin
Angina Pectoris,MESH:D000787,DB00727,Nitroglycerin
Infarction,MESH:D007238,DB00727,Nitroglycerin
Disease,MESH:D004194,DB00727,Nitroglycerin
Diabetes Mellitus,MESH:D003920,DB00731,Nateglinide
Poisoning,MESH:D011041,DB00733,Pralidoxime
Myasthenia Gravis,MESH:D009157,DB00733,Pralidoxime
Asthenia,MESH:D001247,DB00733,Pralidoxime
Schizophrenia,MESH:D012559,DB00734,Risperidone
Autistic Disorder,MESH:D001321,DB00734,Risperidone
Dementia,MESH:D003704,DB00734,Risperidone
Gastroesophageal Reflux,MESH:D005764,DB00736,Esomeprazole
Ulcer,MESH:D014456,DB00736,Esomeprazole
Peptic Ulcer,MESH:D010437,DB00736,Esomeprazole
Disease,MESH:D004194,DB00736,Esomeprazole
Esophagitis,MESH:D004941,DB00736,Esomeprazole
Nausea,MESH:D009325,DB00737,Meclizine
Vomiting,MESH:D014839,DB00737,Meclizine
Pneumonia,MESH:D011014,DB00738,Pentamidine
Infections,MESH:D007239,DB00739,Hetacillin
Bacterial Infections,MESH:D001424,DB00739,Hetacillin
Amyotrophic Lateral Sclerosis,MESH:D000690,DB00740,Riluzole
Disease,MESH:D004194,DB00740,Riluzole
Sclerosis,MESH:D012598,DB00740,Riluzole
Edema,MESH:D004487,DB00741,Hydrocortisone
Inflammation,MESH:D007249,DB00741,Hydrocortisone
Colitis,MESH:D003092,DB00741,Hydrocortisone
Infections,MESH:D007239,DB00741,Hydrocortisone
Ulcer,MESH:D014456,DB00741,Hydrocortisone
Tics,MESH:D020323,DB00741,Hydrocortisone
Edema,MESH:D004487,DB00742,Mannitol
Fibrosis,MESH:D005355,DB00742,Mannitol
Cystic Fibrosis,MESH:D003550,DB00742,Mannitol
Disease,MESH:D004194,DB00743,Gadobenic acid
Asthma,MESH:D001249,DB00744,Zileuton
Narcolepsy,MESH:D009290,DB00745,Modafinil
Anemia,MESH:D000740,DB00746,Deferoxamine
Nausea,MESH:D009325,DB00747,Scopolamine
Vomiting,MESH:D014839,DB00747,Scopolamine
Edema,MESH:D004487,DB00748,Carbinoxamine
Angioedema,MESH:D000799,DB00748,Carbinoxamine
Urticaria,MESH:D014581,DB00748,Carbinoxamine
Skin Manifestations,MESH:D012877,DB00748,Carbinoxamine
Rhinitis,MESH:D012220,DB00748,Carbinoxamine
Pain,MESH:D010146,DB00749,Etodolac
Osteoarthritis,MESH:D010003,DB00749,Etodolac
Arthritis,MESH:D001168,DB00749,Etodolac
Signs and Symptoms,MESH:D012816,DB00749,Etodolac
Seizures,MESH:D012640,DB00754,Ethotoin
Hyperpigmentation,MESH:D017495,DB00755,Tretinoin
Leukemia,MESH:D007938,DB00755,Tretinoin
Acne Vulgaris,MESH:D000152,DB00755,Tretinoin
Nausea,MESH:D009325,DB00757,Dolasetron
Vomiting,MESH:D014839,DB00757,Dolasetron
Stroke,MESH:D020521,DB00758,Clopidogrel
Myocardial Infarction,MESH:D009203,DB00758,Clopidogrel
Acute Coronary Syndrome,MESH:D054058,DB00758,Clopidogrel
Peripheral Arterial Disease,MESH:D058729,DB00758,Clopidogrel
Infarction,MESH:D007238,DB00758,Clopidogrel
Disease,MESH:D004194,DB00758,Clopidogrel
Pneumonia,MESH:D011014,DB00759,Tetracycline
Fever,MESH:D005334,DB00759,Tetracycline
Infections,MESH:D007239,DB00759,Tetracycline
Q Fever,MESH:D011778,DB00759,Tetracycline
Disease,MESH:D004194,DB00759,Tetracycline
Bacterial Infections,MESH:D001424,DB00759,Tetracycline
Pneumonia,MESH:D011014,DB00760,Meropenem
Peritonitis,MESH:D010538,DB00760,Meropenem
Meningitis,MESH:D008581,DB00760,Meropenem
Infections,MESH:D007239,DB00760,Meropenem
Appendicitis,MESH:D001064,DB00760,Meropenem
Hypokalemia,MESH:D007008,DB00761,Potassium chloride
Disease Progression,MESH:D018450,DB00762,Irinotecan
Carcinoma,MESH:D002277,DB00762,Irinotecan
Adenocarcinoma,MESH:D000230,DB00762,Irinotecan
Disease,MESH:D004194,DB00762,Irinotecan
Hyperthyroidism,MESH:D006980,DB00763,Methimazole
Graves Disease,MESH:D006111,DB00763,Methimazole
Goiter,MESH:D006042,DB00763,Methimazole
Disease,MESH:D004194,DB00763,Methimazole
Asthma,MESH:D001249,DB00764,Mometasone
Rhinitis,MESH:D012220,DB00764,Mometasone
Pheochromocytoma,MESH:D010673,DB00765,Metyrosine
Otitis Media,MESH:D010033,DB00766,Clavulanic acid
Sinusitis,MESH:D012852,DB00766,Clavulanic acid
Infections,MESH:D007239,DB00766,Clavulanic acid
Respiratory Tract Infections,MESH:D012141,DB00766,Clavulanic acid
Urinary Tract Infections,MESH:D014552,DB00766,Clavulanic acid
Tics,MESH:D020323,DB00766,Clavulanic acid
Nausea,MESH:D009325,DB00767,Benzquinamide
Vomiting,MESH:D014839,DB00767,Benzquinamide
Rhinitis,MESH:D012220,DB00768,Olopatadine
Erectile Dysfunction,MESH:D007172,DB00770,Alprostadil
Pain,MESH:D010146,DB00771,Clidinium
Colitis,MESH:D003092,DB00771,Clidinium
Ulcer,MESH:D014456,DB00771,Clidinium
